Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
A-7-EKS-17,0.75,0.33,0.44,0,0.22,0.019,4
A-8-EKS-18,0.5,0.18,0.38,0,0.14,0.003,3
A-9-EKS-19,0.75,0.29,0.3,1,0.3,0.024,2
A-9-EKS-20,0.25,0.18,0.1,0,0.24,0.006,2
B-B11-153,0,0.18,0.32,0,0.68,0.037,1
B-B12-165,0,0.52,0.34,1,0.3,0.006,2
B-B12-166,0.5,0.18,0.52,0,0.3,0.008,1
B-B12-167,0.5,0.18,0.55,1,0.1,0.023,3
B-B12-170,0.5,0.18,0.27,0,0.27,0.021,3
C-20,0.75,0.32,0.21,0,0.18,0.022,4
C-24,0.75,0.21,0,0,0.33,0.034,1
C-B10-138,0.25,0.18,0.38,0,0.34,0.01,3
C-B10-144,0.25,0.18,0,0,0.17,0.003,3
C-B1-1,0.25,0.37,1,1,0.88,0.012,4
C-B1-2,0.25,0.52,0.27,0,0.27,0.004,3
C-B1-3,0,0.36,0.29,0,0.49,0.008,1
C-B1-4,0.25,0.36,0.33,0,0.4,0.006,1
C-B15-50,0.75,0.27,0.14,0,0.24,0.055,3
C-B15-54,0.5,0.2,0.41,0,0.34,0.016,4
C-B1-57A-A,0.75,0.47,0,1,0.44,0.045,1
C-B1-57A-B,0.75,0.47,0,0,0.44,0.048,1
C-B1-57B,0.75,0.14,0,1,0.3,0.1,1
C-B1-59-A,0.5,0.37,0,1,0.27,0.008,1
C-B1-59-B,0.5,0.37,0,1,0.16,0.002,1
C-B1-59-C,0.5,0.37,0,1,0.19,0.002,1
C-B1-59-D,0.5,0.37,0,1,0.19,0.003,1
C-B1-60,0.75,0.26,0,1,0.89,0.046,2
C-B16-194,0.5,0.18,0.49,0,0.46,0.03,3
C-B16-196,0.25,0.18,0.4,0,0.35,0.022,1
C-B16-197,0.5,0.18,0.3,0,0.22,0.008,4
C-B16-200,0.75,0.36,0.72,0,0.38,0.02,2
C-B16-202,0.5,0.18,0.26,0,0.3,0.012,4
C-B1-63,0.25,0.52,0,0,0.41,0.293,4
C-B1-64,0.25,0.36,0.35,0,0.43,0.078,4
C-B1-67,0.75,0.39,0.18,0,0.19,0.009,2
C-B1-70,0.5,0.38,0.14,1,0.25,0.019,2
C-B17-211,0.25,0.32,0.29,0,0.32,0.033,2
C-B17-212,0.5,0.32,0.27,0,0.22,0.024,1
C-B19-231,0.25,0.18,0.62,0,0.45,0.024,3
C-B19-232,0.5,0.18,0.44,0,0.27,0.043,3
C-B19-235,0.25,0.3,0.13,1,0.59,0.067,3
C-B20-237,0.25,0.21,0.26,0,0.44,0.034,3
C-B20-238,0.5,0.24,0.65,0,0.29,0.089,3
C-B20-240,0.5,0.18,0.4,0,0.28,0.017,3
C-B20-242,0.25,0.21,0.35,1,0.33,0.011,3
C-B20-243-A,0.75,0.18,0.69,0,0.33,0.019,3
C-B20-243-B,0.75,0.35,0.66,1,0.28,0.012,3
C-B20-244,0.75,0.18,0.51,0,0.25,0.015,3
C-B20-246,0.25,0.27,0.35,1,0.22,0.009,3
C-B2-11,0.5,0.29,0,0,0.25,0.009,4
C-B2-12,0.5,0.3,0.11,1,0.34,0.011,2
C-B21-33,0.5,0.39,0.11,0,0.27,0.059,3
C-B21-35,0.25,0.36,0.56,0,0.35,0.037,1
C-B21-37,0.75,0.36,0.24,0,0.26,0.016,1
C-B21-38,0.5,0.4,0.11,0,0.37,0.014,1
C-B21-40,0.5,0.27,0.14,1,0.37,0.032,1
C-B2-6,0.75,0.32,0,0,0.37,1,2
C-B2-7,0.5,0.18,0.06,1,0.24,0.016,3
C-B2-72,0.75,0.3,0,0,0.24,0.016,4
C-B2-76,0.25,0.29,0,1,0.29,0.014,4
C-B2-77,0.25,0.38,0.41,1,0.34,0.009,4
C-B2-78-A,0.25,0.29,0,0,0.27,0.013,1
C-B2-78-B,0.25,0.29,0,1,0.34,0.008,1
C-B2-79,1,0.45,0.29,0,0.18,0.026,1
C-B2-8-A,0.5,0.41,0,0,0.15,0.003,4
C-B2-8-B,0.5,0.41,0.16,1,0.2,0.005,4
C-B3-14,0.75,0.27,0.32,0,0.23,0.016,4
C-B4-82,0.75,0.18,0.32,0,0.33,0.051,4
C-B4-86,0.25,0.18,0.23,0,0.18,0.002,1
C-B4-88,0.5,0.18,0.25,1,0.33,0.014,1
C-B4-90,0.25,0.18,0.29,1,0.43,0.031,1
C-B6-101,0.25,0.18,0.2,1,0.51,0.014,1
C-B6-103,0.5,0.18,0.35,0,0.33,0.023,3
C-B6-108,0.5,0.18,0.4,0,0.34,0.041,1
C-B8-119,0.25,0.26,0.03,1,0.22,0.004,2
DUZ-EKS-01,1,0.18,0.3,0,0.14,0.015,5
DUZ-EKS-02,0.5,0.49,0.37,0,0.27,0.029,5
DUZ-EKS-03,0.75,0.18,0.36,0,0.17,0.011,5
DUZ-EKS-04,0.5,0.39,0,0,0.33,0.028,5
DUZ-EKS-05,0.75,0.39,0,0,0.23,0.017,5
DUZ-EKS-06,0.5,0.18,0.31,0,0.26,0.016,5
DUZ-EKS-07,0.75,0.39,0.19,0,0.27,0.026,5
DUZ-EKS-08,1,0.33,0.29,0,0.19,0.017,5
DUZ-EKS-09,0.75,0.18,0,0,0.3,0.084,5
DUZ-EKS-11,0.75,0.39,0,0,0.26,0.013,5
DUZ-EKS-12,0.75,0.32,0.07,0,0.08,0.01,5
DUZ-EKS-13,0.75,0.36,0.15,0,0.17,0.006,5
DUZ-EKS-14,0.75,0.18,0.19,0,0.21,0.051,5
DUZ-EKS-15,0.75,0.36,0.44,0,0.28,0.019,5
DUZ-EKS-16,0.75,0.18,0.46,0,0.25,0.009,5
DUZ-EKS-18,0.5,0.35,0.32,0,0.22,0.008,5
DUZ-EKS-19,0.75,0.42,0.21,1,0.3,0.019,5
DUZ-EKS-20,0.5,0.18,0.55,0,0.26,0.019,5
DUZ-EKS-21,0.5,0.18,0.28,0,0.35,0.036,5
DUZ-EKS-22,0.75,0.39,0.16,0,0.26,0.009,5
DUZ-EKS-23,0.75,0.64,0.24,0,0.23,0.053,5
DUZ-EKS-24,0.75,0.32,0.88,0,0.19,0.034,5
DUZ-EKS-25,1,0.24,0.32,0,0.17,0.013,5
DUZ-EKS-26,0.75,0.39,0.33,0,0.27,0.021,5
DUZ-EKS-27,0.75,0.39,0.11,0,0.12,0.005,5
DUZ-EKS-28,0.75,0.39,0.2,0,0.18,0.011,5
DUZ-EKS-29,1,0.24,0.58,0,0.22,0.034,5
DUZ-EKS-30,0.75,0.27,0,0,0.12,0.033,5
DUZ-EKS-31,0.5,0.18,0.71,1,0.33,0.017,5
