Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
M-10-EKS-14,0.75,0.36,0,1,0.26,0.019,2
M-11-EKS-15,0.75,0.39,0,0,0.27,0.023,3
M-1-EKS-1,0.5,0.18,0,0,0.21,0.019,4
M-1-EKS-2,0.5,0.18,0,0,0.35,0.03,3
M-2-EKS-3,0.75,0.18,0,0,0.27,0.05,3
M-3-EKS-4-A,0.5,0.36,0,1,0.39,0.027,2
M-3-EKS-4-B,0.5,0.36,0,1,0.48,0.023,2
M-4-EKS-5,0.5,0.18,0,0,0.27,0.025,3
M-5-EKS-6,0.75,0.24,0,0,0.21,0.034,4
M-6-EKS-7,0.5,0.39,0,1,0.2,0.003,3
M-7-EKS-10,0.75,0.31,0,0,0.24,0.027,4
M-7-EKS-11,0.75,0.31,0,0,0.24,0.008,3
M-7-EKS-8,0.5,0.18,0,0,0.31,0.011,3
M-7-EKS-9,0.75,0.31,0,0,0.23,0.011,2
M-8-EKS-12,0.25,0.18,0,1,0.18,0.004,3
M-9-EKS-13,0.5,0.18,0,0,0.27,0.029,3
M-EKS-16,0.25,0.3,0,0,0.29,0.006,3
M-EKS-17,0.25,0.55,0,1,0.36,0.018,2
M-EKS-18,0.75,0.36,0,0,0.27,0.018,3
M-EKS-19,0.5,0.45,0,0,0.27,0.012,3
M-EKS-20,0.75,0.35,0,0,0.27,0.013,3
M-EKS-21,0.75,0.39,0,0,0.28,0.01,2
M-EKS-22,0.75,0.18,0,0,0.26,0.015,3
M-EKS-23,0.5,0.45,0,1,0.37,0.04,3
M-EKS-24,0.75,0.41,0,1,0.3,0.014,3
M-EKS-25,0.25,0.18,0,0,0.39,0.028,2
M-EKS-26,0.25,0.18,0,0,0.37,0.014,3
M-EKS-27,0.75,0.33,0,1,0.22,0.013,3
M-EKS-28,0.25,0.18,0,0,0.42,0.024,2
M-EKS-29,0.5,0.32,0,0,0.32,0.025,3
M-EKS-30,0.75,0.23,0,0,0.15,0.006,3
M-EKS-31,0.25,0.37,0,0,0.34,0.011,3
M-EKS-32,0.5,0.36,0,1,0.07,0.005,4
M-EKS-33,0.75,0.41,0,1,0.4,0.046,3
M-EKS-34,0.25,0.28,0,1,0.49,0.02,3
M-EKS-35,0.25,0.24,0,0,0.31,0.009,3
M-EKS-36,0.25,0.18,0,0,0.37,0.018,3
M-EKS-37,0.75,0.26,0,0,0.35,0.019,3
M-EKS-38,0.5,0.29,0,0,0.21,0.006,3
M-EKS-39,0.75,0.32,0,0,0.32,0.024,3
M-EKS-40,0.25,0.48,0,1,0.29,0.01,3
M-EKS-41,0.5,0.18,0,0,0.37,0.031,3
M-EKS-42-A,0.5,0.18,0,1,0.34,0.039,2
M-EKS-42-B,0.5,0.18,0,1,0.33,0.034,2
M-EKS-43,0.75,0.36,0,0,0.23,0.013,2
