Floor No.,Total Floor Area,Column Area,Concrete Wall Area(NS),Concrete Wall Area(EW),Masonry Wall Area(NS),Masonry Wall Area(EW),Captive Columns,Damage
2,374,1.34,0,0,3.09,0.6,0,1
2,190,0.37,0,0,0,1.74,0,1
2,245,0.3,0,0,1.05,2.88,0,3
2,196,0.17,2.2,2.54,0,0,0,3
3,839,2.23,0,0,3.35,4.23,1,3
2,292,0.64,0,0,0.47,0,1,1
2,398,0.39,0,0,1.84,0,1,1
2,622,3.97,0,0,7.44,0,1,3
4,1721,7.53,0,0,5.45,0,1,2
5,4703,24.56,0,0,4.71,7.38,0,3
