F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
5.4,3.3,0,0,4.635,1.1,0.23,2,1,9.21,2,3,2,2,1,0.215,0.06,0.115,1,1,0.044639311
18,3.3,0,0,8.1,1.2,0.23,6,2,9,2,3,1,2,1,0.215,0.06,0.115,1,1,0.02888426
7.2,3.3,0,0,2.7,1.2,0.23,2,2,9,2,3,1,2,1,0.215,0.06,0.115,1,1,0.034135943
5.8,2.7,0,0,3.7364,0.65,0.23,1,3,14.6,3,3,2,2,1,0.215,0.065,0.115,1,1,0.06155858
14.6,2.8,0,0,5.32,0.7,0.23,3,1,5.8,3,3,1,2,1,0.215,0.065,0.115,1,1,0.13127098
4,3.3,0,0,1.52,0.95,0.25,0,0,5.2,0,3,2,2,1,0.215,0.065,0.115,0,0,0.052422748
5.2,3.3,0,0,2.16,0.6,0.25,0,0,4,0,3,1,2,1,0.215,0.065,0.115,0,0,0.060808569
14.6,3.6,0,0,1.2,1.3,0.25,2,3,14.6,2,3,2,1,1,0.215,0.05,0.12,1,1,0.040815671
14.6,3.6,0,0,7.2,1.3,0.25,3,2,9.5,3,3,1,1,1,0.215,0.05,0.12,1,1,0.191560583
8,3.8,0,0,3.9,1.8,0.25,1,3,8,1,3,2,2,1,0.23,0.05,0.09,1,1,0.089345225
16,3.8,0,0,9.1,1.75,0.25,3,1,8,4,3,1,2,1,0.23,0.05,0.09,1,1,0.149912744
8.15,3.85,1,0.5,0.9,1.32,0.23,1,1,8.15,1,3,2,2,1,0.215,0.06,0.115,1,1,0.063442722
10.15,3.32,0,0,4.3825,1.25,0.23,1,1,8.15,1,3,1,2,1,0.215,0.06,0.115,1,1,0.123825681
15.8,3.5,0,0,1.5,1.5,0.25,2,7,15.8,2,3,2,2,1,0.22,0.05,0.11,1,1,0.031510102
15.8,3.5,0,0,5.55,1.4,0.25,7,1,8.1,5,3,1,2,1,0.22,0.05,0.11,1,1,0.031510102
4.5,3,0,0,1,0.6,0.25,2,0,4.5,2,3,2,2,1,0.215,0.065,0.115,1,1,0.044711472
14.5,3,0,0,8.33,0.6,0.25,2,2,4.5,2,3,1,2,1,0.215,0.065,0.115,1,1,0.097867453
9.35,3.65,1,0.5,4.17,0.97,0.23,2,5,24,2,3,2,2,1,0.215,0.07,0.115,1,1,0.039728907
24,3.15,0,0,21.0825,0.97,0.23,5,2,9.35,5,3,1,2,1,0.215,0.07,0.115,1,1,0.114989069
11,4.3,1,1.2,1.47,0.85,0.25,2,4,19,2,3,2,1,1,0.23,0.075,0.15,1,1,0.296984592
19,2.9,0,0,10.3,0.85,0.25,2,2,11,4,3,1,1,1,0.23,0.075,0.15,1,1,0.10929471
7.1,2.72,0,0,1.25,0.67,0.23,1,2,12,1,3,2,1,1,0.215,0.06,0.115,1,1,0.084455003
7.1,2.72,0,0,1.25,0.67,0.23,1,2,12,1,3,2,1,1,0.215,0.06,0.115,1,1,0.084455003
12,2.8,0,0,7.3665,0.67,0.23,2,1,7.1,2,3,1,1,1,0.215,0.06,0.115,1,1,0.134099256
12,2.8,0,0,7.3665,0.67,0.23,2,1,7.1,2,3,1,1,1,0.215,0.06,0.115,1,1,0.134134417
9.6,4.6,1,1.4,2.4,0.9,0.25,2,4,15.5,2,3,2,2,1,0.2,0.06,0.09,1,1,0.047261228
15.5,3.2,0,0,8.1,0.9,0.25,3,2,9.6,2,3,1,2,1,0.2,0.06,0.09,1,1,0.112595354
10.3,3.25,1,0.5,3.6,0.65,0.23,1,2,17.5,1,3,2,2,1,0.215,0.06,0.115,1,1,0.13870271
17.5,2.73,0,0,8.5695,0.65,0.23,2,1,10.3,2,3,1,2,1,0.215,0.06,0.115,1,1,0.103259367
15.6,4.2,1,1.2,1.8,0.9,0.25,2,4,15.6,2,3,2,1,1,0.195,0.06,0.1,1,1,0.047466368
