F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
7,2.4,0,0,3.591,0.3,0.15,1,1,4.9,1,1,1,3,2,0.28,0.075,0.14,0,0,0.05197149
4.4,2.9,1,0.4,0,0,0.15,1,1,6.35,1,3,2,3,2,0.28,0.075,0.14,0,0,0.051907682
6.55,2.5,0,0,3.75,0.45,0.15,1,1,4.4,1,3,1,3,2,0.28,0.075,0.14,0,0,0.055527478
7,3.3,1,0.5,0,0,0.23,2,1,7,2,3,2,2,2,0.215,0.065,0.115,1,1,0.042013469
10.9,2.8,0,0,8.1885,0.7,0.23,2,1,7,2,3,1,2,2,0.215,0.065,0.115,1,1,0.10929471
7.1,3.3,1,0.5,2.8,0.7,0.15,1,3,11,1,3,2,2,2,0.21,0.05,0.09,0,0,0.096091386
11,2.8,0,0,5.22,0.7,0.15,3,2,7.1,2,3,1,2,2,0.21,0.05,0.09,0,0,0.110369801
14.2,2.9,0,0,0,0,0.26,3,2,12,3,3,2,2,2,0.23,0.075,0.145,1,1,0.049246864
14.2,2.9,0,0,6.9,0.7,0.26,3,2,12,3,3,1,2,2,0.23,0.075,0.145,1,1,0.118192473
6.3,3.3,1,0.5,0.405,0.7,0.27,3,2,6.3,3,3,2,2,2,0.23,0.075,0.145,1,0,0.075130319
9.3,2.6,0,0,4.94,0.7,0.27,3,2,6.3,3,3,1,2,2,0.23,0.075,0.145,0,1,0.129205307
8.3,3.8,1,1,1.3,0.6,0.265,2,3,13.7,1,3,2,2,2,0.22,0.06,0.09,1,1,0.423843519
13.7,2.8,0,0,8.8,0.6,0.265,2,1,8.3,3,3,1,2,2,0.22,0.06,0.09,1,1,0.089867626
12.2,3.9,1,0.6,2.5,1.2,0.23,2,4,17.3,2,3,2,2,2,0.215,0.05,0.115,1,1,0.034849875
17.3,3.3,0,0,12.3181,1.1,0.23,4,2,12.2,4,3,1,2,2,0.215,0.05,0.115,1,1,0.149672983
4.45,2.1,0,0,0.882,0.4,0.13,1,1,5.1,1,1,2,5,2,0.26,0.08,0.13,0,0,0.029537187
5.1,2.2,0,0,1.8275,0.4,0.13,1,1,4.45,1,1,1,5,2,0.26,0.08,0.13,0,0,0.062399709
3.1,3.15,1,0.6,0,0,0.15,3,0,3.1,3,1,2,5,2,0.26,0.08,0.13,0,0,0.150841111
14.7,2.35,0,0,6.079,0.65,0.15,3,0,3.1,3,1,1,5,2,0.26,0.08,0.13,0,0,0.040657383
3.15,2.4,1,0.4,0,0,0.15,0,1,4.05,0,1,2,5,2,0.27,0.08,0.135,0,0,0.035009561
4.05,2,0,0,1.3335,0.35,0.15,1,0,3.15,1,1,1,5,2,0.27,0.08,0.135,0,0,0.059096237
2.93,2.43,1,0.5,0,0,0.15,0,1,4.83,0,1,2,5,2,0.3,0.1,0.15,0,0,0.038146834
4.83,2.05,0,0,1.56,0.32,0.15,1,0,2.93,1,1,1,5,2,0.3,0.1,0.15,0,0,0.051709207
4.4,2.2,0,0,0,0,0.15,0,1,4.2,0,1,1,5,2,0.26,0.09,0.13,0,0,0.042591935
4.2,2.2,0,0,1.36,0.45,0.15,1,1,4.4,1,1,2,5,2,0.26,0.09,0.13,0,0,0.027801204
5.3,2.45,1,0.4,0,0,0.15,0,1,4.9,0,1,2,5,2,0.26,0.08,0.13,0,0,0.02888426
4.9,2.05,0,0,2.31,0.3,0.15,1,1,5.3,1,1,1,5,2,0.26,0.08,0.13,0,0,0.059096237
2.8,2.5,1,0.5,0,0,0.15,0,0,5.75,0,1,2,5,2,0.26,0.08,0.13,0,0,0.043675862
5.75,2,0,0,1.7225,0.3,0.15,1,0,2.8,0,1,1,5,2,0.26,0.08,0.13,0,0,0.049246864
5,2.65,1,0.5,0.2025,0.6,0.15,1,1,5,1,1,2,6,2,0.23,0.09,0.115,0,0,0.03921869
5.4,2.15,0,0,2.98,0.3,0.15,1,1,5,1,1,1,6,2,0.23,0.09,0.115,0,0,0.047478144
4.5,2.8,1,0.7,0.405,0.6,0.13,1,1,5.5,1,1,2,5,2,0.24,0.08,0.1,0,0,0.047466368
5.5,2.15,0,0,2.25,0.3,0.13,1,1,4.5,1,1,1,5,2,0.24,0.08,0.1,0,0,0.053362816
2.5,2.43,1,0.5,0,0,0.13,0,0,2.5,0,1,2,6,2,0.27,0.08,0.135,0,0,0.026465717
3,2.06,0,0,1.4195,0.35,0.13,0,0,2.5,0,1,1,6,2,0.27,0.08,0.135,0,0,0.03971076
4.2,3,1,0.7,0,0,0.13,0,1,4.2,0,1,2,5,2,0.28,0.072,0.13,0,0,0.043056235
5.2,2.3,0,0,2,0.45,0.13,1,0,4.2,1,1,1,5,2,0.28,0.072,0.13,0,0,0.063020203
3,2.5,1,0.5,0,0,0.5,0,0,3,0,1,2,5,2,0.28,0.085,0.12,0,0,0.064950583
3.6,2.1,0,0,1.72,0.2,0.5,0,0,3,0,1,1,5,2,0.28,0.085,0.12,0,0,0.074629856
4.5,2.5,1,0.5,0,0,0.14,0,1,5.5,0,3,2,5,2,0.26,0.085,0.135,0,0,0.040815671
5.5,2.1,0,0,2.04,0.2,0.14,1,0,4.5,1,3,1,5,2,0.26,0.085,0.135,0,0,0.094363447
6.6,2.95,1,0.5,0,0,0.13,1,1,6,1,3,2,5,2,0.25,0.08,0.125,0,0,0.075617965
6,2.45,0,0,3.235,0.55,0.13,1,1,6.6,1,3,1,5,2,0.25,0.08,0.125,0,0,0.041880574
4.1,2.65,1,0.4,0,0,0.15,0,1,5.1,0,3,2,6,2,0.2,0.05,0.1,0,0,0.021768358
5.1,2.35,0,0,2.7225,0.5,0.15,1,0,4.1,1,3,1,6,2,0.2,0.05,0.1,0,0,0.020328692
5.5,3.2,1,0.9,0,0,0.13,0,2,8.4,0,3,2,5,2,0.27,0.075,0.13,0,0,0.039943179
8.4,2.3,0,0,6.24,0.45,0.13,2,0,5.5,2,3,1,5,2,0.27,0.075,0.13,0,0,0.031510102
3.3,2.6,1,0.6,0,0,0.15,0,1,4.8,0,3,2,5,2,0.3,0.09,0.1,0,0,0.032652537
4.8,2,0,0,1.867,0.3,0.15,1,0,3.3,1,3,1,5,2,0.3,0.09,0.1,0,0,0.092671388
3.35,2.43,1,0.4,0,0,0.13,0,1,4.4,0,1,2,5,2,0.23,0.065,0.115,0,0,0.034786277
4.9,2.1,0,0,2.1045,0.3,0.13,1,1,3.35,1,1,1,5,2,0.23,0.065,0.115,0,0,0.050821729
4.15,2.61,1,0.5,0,0,0.15,0,1,5.7,0,1,2,5,2,0.26,0.09,0.13,0,0,0.037097903
5.7,2.11,0,0,1.35,0.45,0.15,1,0,4.15,1,1,1,5,2,0.26,0.09,0.13,0,0,0.047195443
