No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
0.25,0.21,0.26,0,0.44,0.034,3
0.5,0.24,0.65,0,0.29,0.089,3
0.5,0.18,0.4,0,0.28,0.017,3
0.25,0.21,0.35,1,0.33,0.011,3
0.75,0.18,0.69,0,0.33,0.019,3
0.75,0.35,0.66,1,0.28,0.012,3
0.75,0.18,0.51,0,0.25,0.015,3
0.25,0.27,0.35,1,0.22,0.009,3
0.5,0.29,0,0,0.25,0.009,4
0.5,0.3,0.11,1,0.34,0.011,2
0.5,0.39,0.11,0,0.27,0.059,3
0.25,0.36,0.56,0,0.35,0.037,1
0.75,0.36,0.24,0,0.26,0.016,1
0.5,0.4,0.11,0,0.37,0.014,1
0.5,0.27,0.14,1,0.37,0.032,1
0.75,0.32,0,0,0.37,1,2
0.5,0.18,0.06,1,0.24,0.016,3
0.75,0.3,0,0,0.24,0.016,4
0.25,0.29,0,1,0.29,0.014,4
0.25,0.38,0.41,1,0.34,0.009,4
0.25,0.29,0,0,0.27,0.013,1
0.25,0.29,0,1,0.34,0.008,1
1,0.45,0.29,0,0.18,0.026,1
0.5,0.41,0,0,0.15,0.003,4
0.5,0.41,0.16,1,0.2,0.005,4
0.75,0.27,0.32,0,0.23,0.016,4
0.75,0.18,0.32,0,0.33,0.051,4
0.25,0.18,0.23,0,0.18,0.002,1
0.5,0.18,0.25,1,0.33,0.014,1
0.25,0.18,0.29,1,0.43,0.031,1
0.25,0.18,0.2,1,0.51,0.014,1
0.5,0.18,0.35,0,0.33,0.023,3
0.5,0.18,0.4,0,0.34,0.041,1
0.25,0.26,0.03,1,0.22,0.004,2
1,0.18,0.3,0,0.14,0.015,5
0.5,0.49,0.37,0,0.27,0.029,5
0.75,0.18,0.36,0,0.17,0.011,5
0.5,0.39,0,0,0.33,0.028,5
0.75,0.39,0,0,0.23,0.017,5
0.5,0.18,0.31,0,0.26,0.016,5
0.75,0.39,0.19,0,0.27,0.026,5
