System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
1,1993,4,310.7,1335.41,30.87,2.8,2.8,1,2,1,2,2,2,2,4,3,1,0.1,1,2.7453,0.1848,4
1,1978,5,191.8,1002.64,11.06,3.5,2.8,2,2,2,2,2,1,2,1,4,1.25,0.06,1,2.0833,0.0481,4
2,1979,5,296.57,1581.65,24.7,4,2.6,1,2,2,1,2,1,2,2,4,1.538,0.08,1,1.9152,0.2688,4
2,1996,5,624.9,3124.5,192.65,3.3,2.85,2,2,2,1,2,2,2,1,6,1.158,0.31,1,1.5859,0.1732,4
1,1990,6,566.4,3322,63.28,3,2.8,2,2,2,2,2,2,2,2,7,1.071,0.11,1,1.4774,0.0682,4
1,1992,5,366.8,1581.8,42.9,3.5,2.8,1,2,1,2,2,1,2,0,3,1.25,0.12,1,2.1884,0.1082,4
1,1984,5,285.98,1474.18,11.07,3.5,2.8,1,2,2,2,2,1,2,3,1,1.25,0.04,1,1.0817,0.0284,4
1,1988,5,208.95,1100.31,14.73,3.5,2.8,2,2,2,2,2,1,2,4,2,1.25,0.07,1,1.5087,0.06,4
2,1992,6,315.36,1892.16,63.78,3,2.8,1,2,2,2,2,1,2,1,0,1.071,0.2,1,1.8309,0.1718,4
2,1988,5,489.3,2408.8,0,3.15,2.85,2,2,2,1,2,1,2,2,2,1.105,0,1,1.0815,0.1703,4
1,1986,4,154.7,720.95,38.55,3,3,2,2,2,2,2,2,2,3,4,1,0.25,2,2.5855,0.0913,4
2,1980,4,181.98,727.92,26.78,2.8,2.8,2,2,2,2,2,2,2,4,0,1,0.15,1,2.0904,0.2364,4
1,1983,4,207.04,828.16,32.4,2.9,2.9,2,2,2,2,2,2,2,2,4,1,0.16,1,2.4367,0.0741,4
1,1990,5,322.61,1613.05,58.13,2.8,2.8,2,2,2,1,2,2,2,1,2,1,0.18,1,1.8092,0.0859,4
1,1979,5,334.11,1767.99,24.36,2.8,2.8,2,2,2,2,2,2,2,2,5,1,0.07,1,2.079,0.1165,4
1,1990,4,242.1,968.4,34.6,2.85,2.85,2,2,2,2,2,2,2,2,2,1,0.14,1,1.826,0.0751,4
1,1988,5,173.66,868.3,0,3.65,2.9,1,2,2,2,1,2,2,3,4,1.259,0,2,2.2247,0.0572,4
1,1995,5,390.8,1954,26,3,3,2,2,2,2,2,2,2,2,3,1,0.07,1,1.4698,0.1282,4
2,1995,4,384.24,1615.89,23.24,2.8,2.8,1,2,2,2,2,2,2,1,3,1,0.06,1,3.3976,0.2001,4
2,1979,6,346.25,2077.5,26.85,2.9,2.9,1,2,2,1,2,2,2,2,4,1,0.08,1,1.2551,0.049,4
1,1977,4,92.7,387.81,7.6,2.9,2.9,1,2,2,2,2,2,2,4,1,1,0.08,1,2.8794,0.0892,4
1,1984,5,87.45,500.85,15.9,3.5,2.9,2,2,2,2,2,1,2,2,2,1.207,0.18,1,1.6871,0.0308,4
2,1995,5,123,615,0,3.5,2.8,2,2,2,2,2,1,2,2,3,1.25,0,1,2.3355,0.068,4
2,1997,5,392.96,1644.31,0,3.35,2.9,2,2,2,1,2,1,2,4,4,1.155,0,2,2.0556,0.0526,4
1,1986,4,231.45,925.8,41.7,2.8,2.8,2,2,2,1,2,2,2,2,4,1,0.18,1,1.6879,0.04,4
2,1989,5,445.87,2229.35,70.23,2.8,2.8,1,2,2,2,2,2,2,1,2,1,0.16,1,1.3614,0.1046,4
2,1985,4,567,2563.05,106.55,2.75,2.75,1,2,1,2,2,2,2,4,4,1,0.19,1,1.2303,0.2575,4
1,1976,4,161.2,644.8,7.63,3.5,2.9,1,2,2,2,2,1,2,1,6,1.207,0.05,1,2.3084,0.1163,4
1,1987,6,270.97,1826.87,40.21,2.8,2.8,1,2,2,2,2,2,2,2,2,1,0.15,1,1.5037,0.064,4
