"No. 
Floors",Total Floor Area [m^2],Column Area [m^2],Concrete Wall Area (NS) [m^2],Concrete Wall Area (EW) [m^2],Masonry Wall Area (NS) [m^2],Masonry Wall Area (EW) [m^2],"Captive
Columns",Damage
4,374,1.9,0,0,1.8,1.5,0,2
3,245,1.3,0,0,4.1,0.4,0,2
2,350,1.1,0,0,3.1,2.7,1,1
1,259,1.3,0,0,1.9,1.8,1,3
3,996,3.5,0,0,2.5,0.4,1,3
2,551,1.4,0,0,3.6,4.9,0,3
3,850,1.9,0,0,7.1,3.7,1,3
3,437,1.1,0,0,2.6,2.5,1,3
3,799,2,0,0,0.7,0.8,1,3
3,704,1.8,0,0,2.7,0,0,1
3,680,1.8,0,0,0.4,2.7,1,3
3,619,1.6,0,0,0,2.8,1,3
3,594,1.9,0,0,2.7,0.3,1,2
3,523,1.3,0,0,0,2.7,1,1
4,523,2.6,0,0,4.8,3,1,1
2,403,1.5,0,0,2.7,2.7,1,1
3,705,1.7,0,0,4.1,2.3,1,3
1,413,4.2,0,0,8.2,12.3,1,2
2,357,1,0,0,2.9,2.2,1,2
2,429,1.7,0,0,2.9,0.4,1,1
2,429,1.7,0,0,3.6,3.3,1,1
3,339,1.4,0,0,1.6,3,1,3
2,162,0.8,0,0,2.5,0.3,0,2
5,1438,8.6,0,0,4.5,1.5,0,3
4,1428,3.4,0,0,4,5.8,0,3
4,356,0.6,0,0,4,0.8,0,1
4,1424,4.1,0,0,2.7,6.8,0,2
2,108,0.9,0,0,0.6,2,0,3
2,2606,8.8,0,0,10.4,6.6,0,2
3,903,2.3,0,0,2.6,6.2,0,3
2,105,1.1,0,0,1.5,1.2,0,1
2,205,1.8,0,0,1.4,1.8,0,2
2,199,0.8,0,0,0.8,1.5,0,2
3,322,0.8,0,0,4.4,2.7,0,3
3,442,1,0,0,4.4,1.5,0,3
3,464,0.9,0,0,2.7,0.7,0,2
2,156,0.9,0,0,5.7,1.4,0,1
